menu_start_game_0|Merhaba yabancı, Mount&Blade Warband Diplomacy 4.litdum'a hoşgeldin. Oyuna başlamadan önce, bir karakter yaratman gerekiyor. Karakterini yaratırken yapacağın tercihler karakterinin başlangıçtaki becerilerini belirleyeceği gibi, oyunda karşılaşacağın güçlükleri de etkiler.
menu_start_game_0|Merhaba yabancı, Mount&Blade Warband Diplomacy 4.litdum'a hoşgeldin. Oyuna başlamadan önce, bir karakter yaratman gerekiyor. Karakterini yaratırken yapacağın tercihler karakterinin başlangıçtaki becerilerini belirleyeceği gibi, oyunda karşılaşacağın güçlükleri de etkiler.
menu_start_game_0|Merhaba yabancı, Mount&Blade Warband Diplomacy 4.litdum'a hoşgeldin. Oyuna başlamadan önce, bir karakter yaratman gerekiyor. Karakterini yaratırken yapacağın tercihler karakterinin başlangıçtaki becerilerini belirleyeceği gibi, oyunda karşılaşacağın güçlükleri de etkiler.
mno_go_back|Geri dön
mno_continue|Devam...
menu_start_phase_2|Kalradya adındaki diyar hakkında hikâyeler anlatıp dururlar. Krallıklar arasındaki savaşlar yüzünden paramparça bölünmüş, fırsatçıları, şövalyeleri, maceracıları ve haydutları kendisine çekip onlara büyük tehlikelerle birlikte büyük fırsatlar da sunan bu ülkede belki sen de geçmişini ardında bırakıp yepyeni bir hayata başlayabilirsin. Bu yeni ülkede özgür olacağını ve seçtiğin yol her ne olursa olsun büyük maceraların seni bekliyor olacağını hissediyorsun. Bir gün, Kalradya ve krallıkları ile ilgili anlatılagelen olağanüstü hikâyelerin etkisinde kalarak...
mno_town_1|Svadya Krallığı'nın Praven şehrine giden bir gemiye bindin.
mno_town_2|Vaegir Krallığı'nın Reyvadin şehrine giden bir kervana katıldın.
mno_town_3|Kergit Hanlığı'nın Tulga şehrine giden bir kervana katıldın.
mno_town_4|Nord Krallığı'nın Sargoth şehrine giden bir gemiye bindin.
mno_town_5|Rodok Krallığı'nın Jelkala şehrine giden bir gemiye bindin.
mno_town_6|Sarranid Sultanlığı'nın Shariz şehrine giden bir kervana katıldın.
menu_start_game_3|Senaryo seç
menu_tutorial|Yerel sakinlerin silah talimi yaptığı bir alana yaklaşıyorsun. Burada savaş becerilerini geliştirebilirsin.
mno_go_back_dot|Geri dön.
menu_reports|Nam: {reg5}^Onur: {reg6}^Parti Morali: {reg8}^Grup Büyüklüğü Limiti: {reg7}^^{s1}
mno_view_character_report|Karakter raporunu görüntüle.
mno_view_party_size_report|Grup büyüklüğü raporunu görüntüle.
mno_view_npc_mission_report|Yoldaşların görev raporlarını görüntüle.
mno_view_weekly_budget_report|Haftalık bütçe raporunu görüntüle.
mno_view_morale_report|Grup morali raporunu görüntüle.
mno_lord_relations|Tanınan lordların ilişkiye göre sıralamasını görüntüle.
mno_courtship_relations|Kur yaptığın soylularla ilişkilerini görüntüle.
mno_view_faction_relations_report|Krallıklarla ilişkiler raporunu görüntüle.
mno_resume_travelling|Yolculuğa devam et.
menu_custom_battle_scene|(NO TRANS)
menu_custom_battle_end|Savaş bitti. {s1} Grubun {reg5} asker öldürdü, düşman {reg6} asker öldürdü. Sen {reg7} adam öldürdün.
menu_start_game_1|Başlangıç olarak, karakterinin cinsiyetini seçmelisin.
mno_start_male|Erkek
mno_start_female|Kadın
menu_start_character_1|Yıllar önce, uzak bir diyarda doğmuştun. Baban...
mno_start_noble|fakir düşmüş bir asildi.
mno_start_merchant|gezgin bir tüccardı.
mno_start_guard|kıdemli bir savaşçıydı.
mno_start_forester|bir avcıydı.
mno_start_nomad|bir bozkır göçebesiydi.
mno_start_thief|bir hırsızdı.
menu_start_character_2|{s10}^^ Dünyayı öğrenmeye neredeyse konuşup yürüyebildiğin gibi başladın. Hayatının başlarında...
mno_page|bir asilin sarayında hizmetkârdın.
mno_apprentice|bir zanaatkâr çırağıydın.
mno_stockboy|bir dükkan kalfasıydın.
mno_urchin|bir sokak çocuğuydun.
mno_nomad|bir bozkır çocuğuydun.
menu_start_character_3|{s11}^^ Daha sonra, gençlik döneminde, her zaman olduğu gibi hayat değişti. O dönem sen...
mno_squire|bir şövalye silahtarıydın.
mno_lady|bir nedimeydin.
mno_troubadour|bir halk ozanıydın.
mno_student|bir öğrenciydin.
mno_peddler|bir seyyar satıcıydın.
mno_craftsman|bir demirciydin.
mno_poacher|kaçak bir avcıydın.
menu_start_character_4|{s12}^^Ama sonra her şey değişti ve kendi başına maceracılık yapmaya karar verdin. Seni bu karara iten...
mno_revenge|kişisel intikamdı.
mno_death|sevdiğin birinin kaybıydı.
mno_wanderlust|yolculuk tutkusuydu.
mno_disown|evinden atılmaktı.
mno_greed|para ve güç hırsıydı.
menu_choose_skill|{s13}
mno_begin_adventuring|Bir maceracı ol ve atını kaderine doğru sür.
menu_past_life_explanation|{s3}
mno_view_next|{s5}
menu_morale_report|{s1}
menu_courtship_relations|{s1}
menu_lord_relations|{s1}
menu_companion_report|{s7}{s1}
menu_character_report|{s9}
menu_party_size_report|{s1}
menu_faction_relations_report|{s1}
menu_camp|Kamp kurdun. Ne yapmak istiyorsun?
mno_camp_action|Bir işe giriş.
mno_action_litdum_mod_preferences|Diplomacy 4.litdum mod tercihleri.
mno_camp_wait_here|Burada bir süre bekle.
mno_camp_cheat|HİLE MENÜSÜ!
mno_resume_travelling|Yolculuğa devam et.
menu_camp_cheat|Hile seç:
mno_camp_action_4|Kamp menüsüne dön.
mno_camp_action_4|Kamp menüsüne dön.
menu_camp_action|Bir eylem seç:
mno_camp_recruit_prisoners|Tutsaklardan adam al.
mno_action_read_book|Okumak üzere bir kitap seç:
