qstr_Next_Page|Sonraki sayfa
qstr_Next_Page|Sonraki sayfa
qstr_Next_Page|Sonraki sayfa
qstr_Game_Rules:^|Oyun Kuralları:^
qstr_0|0
qstr_Show_game_rules|Oyun kurallarını göster
qstr_Continue...|Devam et...
qstr_Candidate_#1:_{s1}|Aday #1: {s1}
qstr_Candidate_#2:_{s1}|Aday #2: {s1}
qstr_{s3}_of_{s4}_wishes_|{s4} {s3}ı yeni bir mareşal seçmek istiyor ve derebeylerini tavsiye almak için çağırıyor. {s1} ve {s2} olası adaylar.
qstr_Who_do_you_wish_to_s|Kimi desteklemek istiyorsun?
qstr_{s1}_gives_his_suppo|{s1} oyunu {s2} için kullanıyor.
qstr_Number_of_Supporters|Destekçi sayısı: {reg0}
qstr_{s2}_has_heard_his_v|{s2} derebeylerinin görüşlerini aldı ve {s3} mareşalı olacak kişiyi açıkladı: {s1}!
qstr_Action|Eylem
qstr_Mount|Ata Bin
qstr_Attack_Type|Saldırı Türü
qstr_Stand_Ground|Konumunu Koru
qstr_Charge|Hücum
qstr_Follow_Me|Beni Takip Edin
qstr_Hold_This_Position|Burada Durun
qstr_Spread_Out|Yayılın
qstr_Stand_Closer|Yakın durun
qstr_Fall_Back|Geri çekilin
qstr_Advance|İleri
qstr_Dismount|Attan İnin
qstr_Fire_At_Will|Atış Serbest
qstr_Hold_Your_Fire|Atışı Kes
qstr_Use_Blunt_Weapons|Bayıltıcı Silah Kullanın
qstr_Use_Any_Weapon|Silah Serbest
qstr_Ready|Hazır
qstr_Wounded|Yaralı
qstr_Dead|Ölü
qstr_Number_of_men_knocke|Bayıltılan adam sayısı: {reg1}
qstr_Number_of_men_left:_|Kalan adam sayısı: {reg1}
qstr_Opponents_Beaten:_{r|Yenilen Düşmanlar: {reg1}
qstr_Opponents_Remaining:|Kalan Düşmanlar: {reg1}
qstr_Remain_in_retirement|Emekliliğe devam et
qstr_Go_back_to_the_adven|Maceraya geri dön.
qstr_You_have_retired_at_|{reg5} günlük maceradan sonra {reg4}. seviyede emekli oldun.
qstr_Effect_on_Score|Skora etki
qstr_Settlements_owned_by|Sahip olduğun yerleşimler: {reg0}
qstr_Friendly_Settlements|Dost yerleşimler: {reg0}
qstr_Hostile_Settlements:|Düşman yerleşimler: {reg0}
qstr_Friendly_Lords:_{reg|Dost Lordlar: {reg0}
qstr_Enemy_Lords:_{reg0}|Düşman Lordlar: {reg0}
qstr_Victories:_{reg0}|Galibiyetler: {reg0}
qstr_Defeats:_{reg0}|Mağlubiyetler: {reg0}
qstr_Quests_Completed:_{r|Tamamlanan Görevler: {reg0}
qstr_Companions_Found:_{r|Bulunan Yoldaşlar: {reg0}
qstr_Companions_Lost/Depa|Ayrılan/Kaybedilen Yoldaşlar: {reg0}
qstr_Wealth:_{reg0}_denar|Servet: {reg0} dinar
qstr_Inventory:_{reg0}_de|Envanter: {reg0} dinar
qstr_Renown:_{reg0}|Nam: {reg0}
qstr_Experience:_{reg0}|Tecrübe: {reg0}
qstr_Days_Passed:_{reg0}|Geçen gün sayısı: {reg0}
qstr_Difficulty:_{reg0}%|Zorluk: %{reg0}
qstr_TOTAL_SCORE:_{reg0}|TOPLAM PUAN: {reg0}
qstr_None|Hiç
qstr_Wages_for_your_Shipc|Gemi Mürettebatları için maaşlar
qstr_Staff:|Çalışanlar:
qstr_You_paid_{reg0}_cash|Bir borcu kapatmak için {reg0} dinar ödedin.
qstr_Earlier_cash:|Önceki varlık:
qstr_New_cash:|Yeni varlık:
qstr_Done|Oldu
qstr_Name:_{s1}^Level:_{r|İsim: {s1}^Seviye: {reg1}
qstr_{s1}^HP:_{reg1}/{reg|{s1}^Sağlık Puanı: {reg1}/{reg2}
qstr_Weapon_upgrade_setti|Silah geliştirme seçenekleri:
qstr_Apply_to_everyone|Herkes için uygula
qstr_Upgrade_armor_|Zırhı geliştir
qstr_Upgrade_horse_|Atı geliştir
qstr_Select_your_domestic|İç siyasetini seç
qstr_Centralization:|Merkezileşme:
qstr_Aristocracy:|Aristokrasi:
qstr_Serfdom:|Kölelik:
qstr_Troop_quality:|Birlik kalitesi:
qstr_Mercantilism:|Ticaret anlayışı:
qstr_High_centralization_|Yüksek merkezileşme kralın vergi kaybının azalıp derebeylerinin vergi kaybının artmasını sağlar. Bu da kral ile lordlar arasında sıkıntı yaratabilir.
qstr_High_aristocracy_wil|Yüksek aristokraside derebeyleri daha büyük ordular kuracağından kralla ilişkileri artar ama ticareti azaltır.
qstr_High_serfdom_reduces|Yüksek kölelik kral ve derebeylerinin vergi kaybını azaltıp büyük ordular kurmasını sağlar ama birlikler moral kaybeder.
qstr_High_troop_quality_i|Yüksek ordu kalitesi ordunun gücünü arttırır ancak boyutunu azaltır.
qstr_Mercantilistic_polic|Ticaretçi siyaset ihracatınızı arttırırken ithalatınızı düşürür ve devletin üretimi düzenlemesini arttırır.
qstr_Cancel|İptal
qstr_Dictate_the_peace_te|Barış şartlarını belirt
qstr_Select_the_castle_an|İstediğin para miktarını ve kaleyi seç ve kutuya tıklayıp talebi aktif et. Hem para hem toprak alabilirsin.
qstr_1000_denars|1000 dinar
qstr__Faction_Relations_R| Krallık İlişkileri Raporu 
qstr__Return_to_menu_| Menüye dön
qstr_Your_kingdom|Krallığın
qstr_Player^Relation|Oyuncu^İlişkisi
qstr_War|Savaş
qstr_Casus_Belli|Savaş Sebebi
qstr_Peace|Barış
qstr_Truce|Ateşkes
qstr_Alliance|Müttefik
qstr_Defense|Savunma
qstr_Trade|Ticaret
qstr_{reg59?{reg59}_days:|{reg59?{reg59} gün:}
qstr_Loyal|Sadık
qstr_Devoted|Adamış
qstr_Fond|Pervasız
qstr_Gracious|Cana Yakın
qstr_Friendly|Dost Canlısı
qstr_Supportive|Destekçi
qstr_Favorable|İyi Niyetli
qstr_Cooperative|Yardımsever
qstr_Accepting|Uyumlu
qstr_Indifferent|İlgisiz
qstr_Suspicious|Şüpheci
qstr_Grumbling|Dırdırcı
qstr_Hostile|Düşman
qstr_Resentful|Alıngan
qstr_Angry|Sinirli
qstr_Hateful|Nefret Dolu
qstr_Revengeful|İntikamcı
qstr_Vengeful|Kinci
